result_url,query,source,location,signal,category_hint
https://luxorastyl.com,"""Powered by Shopify"" ""Telangana"" ""GSTIN"" store",web-search,Telangana,Powered by Shopify,fashion
https://nutrealiswellness.com,"""Powered by Shopify"" ""Telangana"" ""GSTIN"" store",web-search,Telangana,Powered by Shopify,wellness
https://petgourmet.in/collections/all,"""Powered by Shopify"" ""Telangana"" ""GSTIN"" store",web-search,Telangana,Powered by Shopify,pet food
https://thexperfumes.com,"""Powered by Shopify"" ""India"" accessories ""Address""",web-search,Hyderabad,Powered by Shopify,beauty
https://houseofkefi.com,"""Powered by Shopify"" ""India"" ""home decor"" ""Address""",web-search,Hyderabad,Powered by Shopify,home decor
