result_url,query,source,location,signal,category_hint
https://eclipsemode.in,"""Powered by Shopify"" ""Coimbatore"" India store",web-search,Coimbatore,Powered by Shopify,fashion
https://koushikdesignersindia.com,"""Powered by Shopify"" ""Chennai"" India store",web-search,Chennai,Powered by Shopify,fashion
https://vastraamall.in,"""Powered by Shopify"" ""Tamil Nadu"" ""GSTIN"" store",web-search,Tamil Nadu,Powered by Shopify,clothing
https://giftelle.in,"""Powered by Shopify"" ""Tamil Nadu"" ""GSTIN"" store",web-search,Tamil Nadu,Powered by Shopify,gifts
https://airtex.in,"""Powered by Shopify"" ""Tamil Nadu"" ""GSTIN"" store",web-search,Tamil Nadu,Powered by Shopify,home decor
https://petgourmet.in/collections/all,"""Powered by Shopify"" ""India"" food ""GSTIN""",web-search,Telangana,Powered by Shopify,pet food
